Station,Community
"New Fetter Lane, Holborn",0
"Risinghill Street, Angel",0
"Cheapside, Bank",0
"Cotton Garden Estate, Kennington",0
"Sancroft Street, Vauxhall",0
"Sail Street, Vauxhall",0
"Houndsditch, Aldgate",0
"Royal Avenue 1, Chelsea",0
"Moorfields, Moorgate",0
"Concert Hall Approach 2, South Bank",0
"Smith Square, Westminster",0
"British Museum, Bloomsbury",0
"Broadwick Street, Soho",0
"Northumberland Avenue, Strand",0
"Geraldine Street, Elephant & Castle",0
"Millbank Tower, Pimlico",0
"Lincoln's Inn Fields, Holborn",0
"Wood Street, Guildhall",0
"Kingsway, Covent Garden",0
"Grafton Street, Mayfair",0
"Triangle Car Park, Hyde Park",1
"Scala Street, Fitzrovia",0
"Portugal Street, Holborn",0
"Westminster University, Marylebone",0
"Houghton Street, Strand",0
"Marylebone Lane, Marylebone",0
"Queen Street 2, Bank",0
"Portman Square, Marylebone",0
"Torrens Street, Angel",0
"Westminster Bridge Road, Elephant & Castle",0
"Northdown Street, King's Cross",0
"Guildhouse Street, Victoria",0
"Albert Embankment, Vauxhall",0
"The Tennis Courts, The Regent's Park",0
"Bayley Street , Bloomsbury",0
"Chapel Place, Marylebone",0
"Cadogan Gardens, Chelsea",0
"Lavington Street, Bankside",0
"Howland Street, Fitzrovia",0
"Bank of England Museum, Bank",0
"Warwick Row, Westminster",0
"George Place Mews, Marylebone",0
"Woodstock Street, Mayfair",0
"Farm Street, Mayfair",0
"Cadogan Place, Knightsbridge",0
"Stanhope Gate, Mayfair",0
"King Edward Street, St Pauls",0
"Butler Place, Westminster",0
"Clifton Street, Shoreditch",0
"Holborn Circus, Holborn",0
"Rathbone Street, Fitzrovia",0
"Stamford Street, South Bank",0
"Coram Street, Bloomsbury",0
"Bury Place, Holborn",0
"Finsbury Circus, Liverpool Street",0
"Park Lane , Hyde Park",1
"Golden Square, Soho",0
"Charles II Street, West End",0
"Euston Square Gardens, Euston",0
"Jewry Street, Aldgate",0
"St. George Street, Mayfair",0
"St. Bride Street, Holborn",0
"Tyers Gate, Bermondsey",0
"Grosvenor Crescent, Belgravia",0
"Chelsea Green, Chelsea",0
"Broadcasting House, Marylebone",0
"Wellington Arch, Hyde Park",0
"Green Street, Mayfair",0
"Royal Avenue 2, Chelsea",0
"Eaton Square (South), Belgravia",0
"Belgrave Square, Belgravia",0
"The Guildhall, Guildhall",0
"Pindar Street, Liverpool Street",0
"Storey's Gate, Westminster",0
"Bruton Street, Mayfair",0
"Harriet Street, Knightsbridge",0
"Clifford Street, Mayfair",0
"Victoria & Albert Museum, South Kensington",0
"Fore Street Avenue, Guildhall",0
"Knightsbridge, Hyde Park",1
"St. John's Wood Church, The Regent's Park",0
"Ebury Bridge, Pimlico",0
"Millennium Hotel, Mayfair",0
"Clarges Street, Mayfair",0
"Nutford Place, Marylebone",0
"Goswell Road (City Uni), Finsbury",0
"Colombo Street, Southwark",0
