Start station,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Cluster,commonName,lat,lon,NbDocks,geometry,Community
"Bruton Street, Mayfair",-2.1666666666666665,1.5,0.0,0.0,0.0,0.0,0.0,-0.19999999999999996,-0.4411764705882353,-0.04761904761904767,-0.7142857142857142,-0.8333333333333333,0.2857142857142858,0.2919254658385093,-0.025210084033613356,0.303921568627451,0.4193548387096775,1.564039408866995,1.3035714285714286,0.803921568627451,0.0,0.36363636363636354,-0.3181818181818181,0.0,0,"Bruton Street, Mayfair",51.510736,-0.144165,21,POINT (698166.3156989609 5710490.202837724),1
"Bury Place, Holborn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111072,-0.021094264996704082,-0.07792207792207795,-0.11336032388663964,0.19487179487179485,0.42191142191142195,0.13803088803088803,0.4901960784313726,0.6868686868686869,1.0294599018003272,2.3818306010928962,2.0654853620955316,1.2478632478632479,0.43333333333333335,0.5714285714285714,0.0,0.0,0,"Bury Place, Holborn",51.51742,-0.123189,21,POINT (699592.3336548541 5711290.374855021),1
"Chadwell Street, Angel",0.0,0.0,0.0,0.0,0.0,0.0,0.8125,1.7410714285714284,2.9377049180327868,2.783333333333333,0.37621832358674445,-0.19740259740259747,0.3545454545454545,0.27941176470588225,0.3481781376518218,0.55,0.4975845410628019,0.9680277349768875,1.0225563909774438,0.3010033444816054,0.303030303030303,0.2679045092838197,-0.09000000000000008,0.13095238095238093,0,"Chadwell Street, Angel",51.530515,-0.106408,18,POINT (700698.7602220923 5712792.2246193625),1
"Chapel Place, Marylebone",0.25,0.0,0.0,0.0,0.0,0.0,-0.11428571428571432,-0.32999999999999985,-0.9285714285714286,-0.16481481481481497,0.1826923076923077,0.39523809523809517,0.6168831168831168,0.7638888888888888,0.6160287081339713,0.9920634920634919,1.8919491525423728,3.098245614035087,2.0116959064327484,0.9353741496598638,0.2753623188405798,0.26315789473684204,0.5,0.0,0,"Chapel Place, Marylebone",51.515308,-0.147203,29,POINT (697935.7204122903 5710990.304164591),1
"Christopher Street, Liverpool Street",0.0,1.0,0.0,0.0,0.0,0.0,-1.2413793103448274,-0.5734265734265735,-0.7465472191116087,-0.2775735294117647,0.022222222222222365,0.3666666666666667,0.27575757575757587,0.16842105263157903,0.07342657342657355,0.368421052631579,1.375757575757576,4.459612518628912,1.2797202797202798,0.5666666666666667,0.3157894736842106,0.3125,0.0,0.2857142857142858,0,"Christopher Street, Liverpool Street",51.521283,-0.084605,32,POINT (702251.640902797 5711825.858795362),1
"Clarges Street, Mayfair",0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.1428571428571428,-0.11904761904761907,0.28888888888888875,0.050000000000000044,0.3529411764705883,-0.06593406593406592,0.47058823529411775,0.29166666666666674,-0.875,0.19999999999999996,0.9166666666666665,0.1777777777777778,0.6451612903225807,0.28,0.0,-1.1666666666666667,0.0,0,"Clarges Street, Mayfair",51.507326,-0.145827,16,POINT (698065.805795815 5710106.569705442),1
"Clerkenwell Green, Clerkenwell",0.18181818181818188,0.0,0.5,0.0,0.0,0.0,0.16666666666666674,0.45052631578947366,0.48064516129032286,0.927777777777778,0.34491978609625673,0.5555555555555556,0.766025641025641,0.5648148148148149,0.37797619047619047,0.8,0.6666666666666667,1.753789050417569,3.1704918032786886,0.85178463399879,0.4073518379594898,0.27453769559032715,0.3018433179723503,0.10138248847926268,0,"Clerkenwell Green, Clerkenwell",51.52326,-0.104708,21,POINT (700848.5878878077 5711990.26726694),1
"Clifton Street, Shoreditch",0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666674,0.403225806451613,-0.7964426877470354,-0.1728307254623045,0.12352941176470589,0.3904761904761904,0.30000000000000004,0.27083333333333326,0.23529411764705888,0.11497326203208558,0.6486486486486487,1.5384615384615383,2.0847457627118646,0.6956521739130435,0.2272727272727273,-1.8666666666666667,0.0,0.0,0,"Clifton Street, Shoreditch",51.523196,-0.083067,24,POINT (702349.8327273645 5712042.802638378),1
"Columbia Road, Shoreditch",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6707021791767556,3.7896825396825395,2.0128205128205128,0.5494505494505495,0.1071428571428572,0.5666666666666667,0.3999999999999999,-0.028571428571428692,0.10909090909090913,0.2962962962962963,0.23170731707317072,0.6254901960784311,0.3472706155632985,0.2282608695652173,0.15000000000000013,0.3125,0.5,0,"Columbia Road, Shoreditch",51.528187,-0.075375,24,POINT (702861.1337081576 5712619.0170144485),1
"Coram Street, Bloomsbury",0.0,0.0,0.0,0.0,0.0,0.0,0.4285714285714286,0.837912087912088,1.6995614035087718,0.5147058823529411,0.2933227344992051,0.5555555555555556,0.4357142857142857,0.4444444444444444,0.2652439024390243,0.3660714285714286,0.9041666666666666,1.2163636363636365,1.2454545454545451,1.1500559910414332,0.6102941176470589,0.6363636363636362,0.18181818181818188,0.11111111111111116,0,"Coram Street, Bloomsbury",51.524,-0.126409,29,POINT (699340.2258278949 5712013.172332775),1
