Station,Community
"Cotton Garden Estate, Kennington",2
"Sancroft Street, Vauxhall",2
"Sail Street, Vauxhall",2
"Houndsditch, Aldgate",1
"Royal Avenue 1, Chelsea",0
"Moorfields, Moorgate",1
"Concert Hall Approach 2, South Bank",1
"Smith Square, Westminster",0
"British Museum, Bloomsbury",1
"Broadwick Street, Soho",0
"Northumberland Avenue, Strand",0
"Geraldine Street, Elephant & Castle",2
"Millbank Tower, Pimlico",2
"Lincoln's Inn Fields, Holborn",1
"Wood Street, Guildhall",1
"Kingsway, Covent Garden",1
"Grafton Street, Mayfair",0
"Triangle Car Park, Hyde Park",0
"Scala Street, Fitzrovia",0
"Portugal Street, Holborn",1
"Westminster University, Marylebone",0
"Houghton Street, Strand",2
"Marylebone Lane, Marylebone",0
"Queen Street 2, Bank",2
"Portman Square, Marylebone",0
"Torrens Street, Angel",1
"Westminster Bridge Road, Elephant & Castle",2
"Northdown Street, King's Cross",1
"Guildhouse Street, Victoria",0
"Albert Embankment, Vauxhall",2
"The Tennis Courts, The Regent's Park",0
"Bayley Street , Bloomsbury",0
"Chapel Place, Marylebone",0
"Cadogan Gardens, Chelsea",0
"Lavington Street, Bankside",2
"Howland Street, Fitzrovia",0
"Bank of England Museum, Bank",1
"Warwick Row, Westminster",0
"George Place Mews, Marylebone",0
"Woodstock Street, Mayfair",0
"Farm Street, Mayfair",0
"Cadogan Place, Knightsbridge",0
"Stanhope Gate, Mayfair",0
"King Edward Street, St Pauls",1
"Butler Place, Westminster",0
"Clifton Street, Shoreditch",1
"Holborn Circus, Holborn",1
"Rathbone Street, Fitzrovia",0
"Stamford Street, South Bank",2
"Coram Street, Bloomsbury",1
"Bury Place, Holborn",1
"Finsbury Circus, Liverpool Street",1
"Park Lane , Hyde Park",0
"Golden Square, Soho",0
"Charles II Street, West End",0
"Euston Square Gardens, Euston",1
"Jewry Street, Aldgate",1
"St. George Street, Mayfair",0
"St. Bride Street, Holborn",2
"Tyers Gate, Bermondsey",2
"Grosvenor Crescent, Belgravia",0
"Chelsea Green, Chelsea",0
"Broadcasting House, Marylebone",0
"Wellington Arch, Hyde Park",0
"Green Street, Mayfair",0
"Royal Avenue 2, Chelsea",0
"Eaton Square (South), Belgravia",0
"Belgrave Square, Belgravia",0
"The Guildhall, Guildhall",1
"Pindar Street, Liverpool Street",1
"Storey's Gate, Westminster",0
"Bruton Street, Mayfair",0
"Harriet Street, Knightsbridge",0
"Clifford Street, Mayfair",0
"Victoria & Albert Museum, South Kensington",0
"Fore Street Avenue, Guildhall",1
"Knightsbridge, Hyde Park",0
"St. John's Wood Church, The Regent's Park",0
"Ebury Bridge, Pimlico",0
"Millennium Hotel, Mayfair",0
"Clarges Street, Mayfair",0
"Nutford Place, Marylebone",0
"Goswell Road (City Uni), Finsbury",1
"Colombo Street, Southwark",2
