Station,Community
"Golden Square, Soho",1
"Charles II Street, West End",2
"Euston Square Gardens, Euston",1
"Jewry Street, Aldgate",0
"St. George Street, Mayfair",2
"St. Bride Street, Holborn",0
"Tyers Gate, Bermondsey",3
"Grosvenor Crescent, Belgravia",2
"Chelsea Green, Chelsea",2
"Broadcasting House, Marylebone",1
"Wellington Arch, Hyde Park",2
"Green Street, Mayfair",2
"Royal Avenue 2, Chelsea",2
"Eaton Square (South), Belgravia",2
"Belgrave Square, Belgravia",2
"The Guildhall, Guildhall",0
"Pindar Street, Liverpool Street",0
"Storey's Gate, Westminster",2
"Bruton Street, Mayfair",1
"Harriet Street, Knightsbridge",2
"Clifford Street, Mayfair",1
"Victoria & Albert Museum, South Kensington",2
"Fore Street Avenue, Guildhall",0
"Knightsbridge, Hyde Park",2
"St. John's Wood Church, The Regent's Park",1
"Ebury Bridge, Pimlico",2
"Millennium Hotel, Mayfair",2
"Clarges Street, Mayfair",2
"Nutford Place, Marylebone",1
"Goswell Road (City Uni), Finsbury",0
"Colombo Street, Southwark",3
