Start station,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Cluster
"Commercial Street, Shoreditch",0.0,0.0,0.0,0.0,0.0,0.0,0.05882352941176472,0.33333333333333326,0.9607843137254901,0.2857142857142858,0.4285714285714286,0.3793103448275863,0.3125,0.19999999999999996,0.21739130434782616,-0.01666666666666683,0.2666666666666666,0.0,0.25,0.3571428571428572,0.09090909090909083,0.11868686868686851,0.33333333333333326,0.7272727272727273,0
"Craven Street, Strand",0.4516129032258065,0.16666666666666674,0.6000000000000001,0.6666666666666667,0.23076923076923084,0.0,0.4920948616600791,2.546376811594203,3.6502732240437163,1.747126436781609,0.21526908635794761,0.40588235294117636,0.5225563909774438,0.8231707317073171,0.8309178743961354,1.1662735849056602,0.9947089947089947,2.4906947890818865,1.9635701275045538,1.1666666666666667,1.3004354136429608,1.1587125416204216,1.6019766397124886,0.5058823529411764,1
"Curlew Street, Shad Thames",-0.16666666666666674,0.0,0.0,0.0,0.0,0.0,0.0,2.7365079365079366,4.855741279069767,3.3864734299516908,1.2380952380952381,1.0896226415094339,1.3522727272727273,1.0190217391304346,0.5476190476190477,0.5594202898550724,0.48,0.50509977827051,1.0428571428571427,0.45954907161803704,-0.19858989424206808,-0.1797385620915033,-0.13777777777777778,0.0,0
"Dickens Square, Borough",0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909083,0.627906976744186,2.0535714285714284,0.9978813559322033,0.25,0.28,0.17934782608695654,0.7013888888888888,0.575,0.17307692307692313,0.3333333333333335,0.2416666666666667,0.4285714285714286,0.0452380952380953,0.2941176470588236,0.05714285714285716,0.22222222222222232,-0.04807692307692313,0
"Doric Way , Somers Town",0.0,0.19999999999999996,0.0,0.0,0.0,0.0,1.5964912280701755,6.892473118279571,8.69548872180451,2.8620689655172415,1.46,0.5934343434343434,0.6785714285714286,0.42500000000000004,0.35353535353535337,-0.1142857142857141,0.06360708534621584,0.10586734693877542,0.3571428571428572,0.5392156862745097,0.2727272727272727,0.17500000000000004,-0.20454545454545459,0.3600000000000001,0
"Duke Street Hill, London Bridge",0.375,-1.7777777777777777,0.0,0.0,0.0,-0.3999999999999999,1.0588235294117647,3.8349462365591394,6.180952380952381,4.35375,2.414102564102564,0.939479239971851,0.9961315280464216,1.510180995475113,1.1561624649859943,1.6703239289446188,1.8383620689655173,2.7134533898305087,2.927960927960928,2.4053278688524595,1.4676113360323888,1.3589743589743593,0.8431372549019609,0.8409090909090908,1
"Eaton Square (South), Belgravia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909083,0.46077127659574457,0.40909090909090917,0.24,0.26315789473684204,-0.011904761904761862,0.11764705882352944,0.07000000000000006,0.3890577507598785,0.2410714285714286,0.5909090909090908,0.013157894736842035,0.040322580645161255,0.0,0.33333333333333326,0.3295454545454546,-0.5,0
"Euston Road, Euston",-0.10000000000000009,0.0,0.0,0.0,0.0,0.0,-0.125,1.380952380952381,4.0,1.6857142857142855,0.6666666666666667,0.6666666666666667,0.0,0.2222222222222221,0.05714285714285716,0.6666666666666667,0.2407407407407407,-0.4568965517241379,0.3333333333333335,0.04999999999999982,-0.1428571428571428,0.4375,0.368421052631579,0.0,0
"Farringdon Street, Holborn",0.0,0.0,0.0,0.0,0.0,-0.25,-0.03571428571428581,-0.24327956989247324,-0.09324009324009319,0.4375,0.13095238095238093,0.4838709677419355,0.4840909090909091,0.2869022869022868,0.375,0.7403100775193798,2.0677966101694913,6.761904761904762,5.346774193548387,1.1390977443609025,0.2857142857142858,-0.019230769230769162,0.22222222222222232,-0.33333333333333326,1
"Fore Street, Guildhall",0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.04010462074978194,-0.18035121025154255,0.20634920634920628,-0.30833333333333335,0.2350427350427351,0.18233618233618243,0.32432432432432434,0.22983870967741926,0.33333333333333326,0.7234042553191489,4.072859744990892,4.454887218045113,0.9263565891472869,-0.04761904761904767,0.25,0.0,0.25,0
