Station,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill,Borough,lat,long
Earls Court,30323.0,24399.0,18840.0,30098.0,24212.0,18053.0,2497.88,Kensington and Chelsea,51.491521,-0.193906
East Acton,6603.0,4380.0,3187.0,6345.0,3923.0,3119.0,484.28,Hammersmith and Fulham,51.51753,-0.24827
Camden Town,31046.0,37481.0,16303.0,31183.0,41851.0,28383.0,3076.84,Camden,51.5393,-0.14316
Caledonian Road,9277.0,6574.0,4874.0,8591.0,5719.0,4668.0,691.78,Islington,51.5485,-0.11802
Burnt Oak,7414.0,4665.0,3321.0,6947.0,4413.0,3165.0,528.8,Barnet,51.603,-0.26427
Buckhurst Hill,3740.0,2373.0,1303.0,3843.0,2109.0,1290.0,264.14,Epping Forest,51.62611,0.04705
Acton Town,9531.0,6716.0,4744.0,9382.0,6617.0,4785.0,728.49,Ealing,51.5025,-0.278126
Aldgate East,22327.0,16166.0,13323.0,21071.0,13893.0,11347.0,1703.09,Tower Hamlets,51.51514,-0.07178
Alperton,4495.0,3279.0,2345.0,5081.0,3392.0,2445.0,366.54,Brent,51.54097,-0.30061
Amersham,3848.0,1876.0,1232.0,4025.0,1797.0,1121.0,255.15,Chiltern,51.67435,-0.60732
Angel,30413.0,20944.0,13916.0,30099.0,22368.0,13832.0,2304.94,Islington,51.53253,-0.10579
Archway,15336.0,10701.0,7424.0,13956.0,9023.0,6816.0,1111.07,Islington,51.56536,-0.13474
Arnos Grove,7443.0,5868.0,3986.0,6732.0,5100.0,3745.0,569.35,Enfield,51.61625,-0.13355
Arsenal,4622.0,3692.0,2626.0,3929.0,3071.0,2581.0,352.61,Islington,51.55847,-0.10561
Baker Street,47116.0,29088.0,22260.0,44913.0,27901.0,20754.0,3388.25,City of Westminster,51.52265,-0.15704
Balham,22562.0,17441.0,10809.0,22199.0,15581.0,10678.0,1735.09,Wandsworth,51.44344113,-0.152945844
Bank,112547.0,29906.0,17414.0,111709.0,29100.0,16333.0,6171.74,City of London,51.5134047,-0.08905843
Barbican,20680.0,7416.0,5149.0,20512.0,7702.0,5351.0,1250.14,City of London,51.520865,-0.097758
Barking,29410.0,19930.0,14113.0,28165.0,18712.0,13372.0,2172.02,Barking and Dagenham,51.54079,0.08018
Barkingside,2723.0,1440.0,931.0,2661.0,1403.0,934.0,182.64,Redbridge,51.58543,0.08854
East Finchley,12133.0,7616.0,4980.0,11528.0,6609.0,4958.0,851.35,Barnet,51.5872974705487,-0.16495632312818
Barons Court,12188.0,7011.0,5009.0,10959.0,6051.0,4894.0,822.71,Hammersmith and Fulham,51.490281,-0.21434
Becontree,6034.0,3935.0,2549.0,5638.0,3595.0,2423.0,428.53,Barking and Dagenham,51.54029,0.1262
Belsize Park,10868.0,6114.0,4791.0,9207.0,5596.0,4541.0,728.59,Camden,51.55036,-0.16465
