commonName,lat,lon,NbDocks
"Pitfield Street Central, Hoxton",51.53213,-0.08299,30
"Eagle Wharf Road, Hoxton",51.53356,-0.09315,45
"Queen Street 2, Bank",51.511246,-0.093051,36
"New Cavendish Street, Marylebone",51.519167,-0.147983,18
"Abingdon Green, Westminster",51.49764,-0.125972,20
"Monument Street, Monument",51.50964,-0.08497,22
"Hoxton Street, Hoxton",51.52959,-0.0801,27
"Greenberry Street, St.John's Wood",51.53256,-0.16862,26
"Northdown Street, King's Cross",51.531066,-0.11934,21
"Kingsway Southbound, Strand",51.513875,-0.117774,33
"Seymour Place, Marylebone",51.520331,-0.163667,29
"Archbishop's Park, Waterloo",51.498241,-0.117495,23
"Great Suffolk Street, The Borough",51.501732,-0.100292,21
"Buckingham Gate, Westminster",51.498865,-0.137424,16
"Blackfriars Station, St. Paul's",51.511934,-0.103078,35
"Harris Academy, Bermondsey",51.492668,-0.07235,18
"Chicheley Street, South Bank",51.502698,-0.116747,24
"St. Bride Street, Holborn",51.515059,-0.105344,25
"Snowsfields, London Bridge",51.502153,-0.083632,31
"Walworth Square, Walworth",51.491327,-0.096518,24
"Duke Street Hill, London Bridge",51.506304,-0.087262,21
"Newton Street, Covent Garden",51.516128,-0.120909,24
"Broadley Terrace, Marylebone",51.524561,-0.165668,18
"Storey's Gate, Westminster",51.500703,-0.129698,21
"Tallis Street, Temple",51.511891,-0.107349,24
"Houndsditch, Aldgate",51.514449,-0.077178,28
"Victoria & Albert Museum, South Kensington",51.495898,-0.173009,30
"Blackfriars Road, Southwark",51.505461,-0.10454,42
"Cromer Street, Bloomsbury",51.528279,-0.119558,28
"Euston Square Gardens, Euston",51.527068,-0.131861,30
"Coram Street, Bloomsbury",51.524,-0.126409,29
"Ossulston Street, Somers Town",51.5293,-0.128279,30
"Birkenhead Street, King's Cross",51.530199,-0.122299,27
"Kings Gate House, Westminster",51.497698,-0.137598,24
"Lavington Street, Bankside",51.505224,-0.098031,29
"Southwark Street, Bankside",51.505409,-0.098341,23
"Good's Way, King's Cross",51.534667,-0.125078,27
"Lincoln's Inn Fields, Holborn",51.516277,-0.118272,28
"Tate Modern, Bankside",51.506725,-0.098807,30
"Lambeth Palace Road, Waterloo",51.500089,-0.116628,35
"Westminster Pier, Westminster",51.501513,-0.123823,27
"Belvedere Road 2, South Bank",51.50621,-0.114842,38
"Victory Place, Walworth",51.492807,-0.091938,24
"Allington Street, Victoria",51.496863,-0.142943,28
"Farringdon Street, Holborn",51.516785,-0.104947,25
"Fore Street, Guildhall",51.518093,-0.091401,25
"Sea Containers, South Bank",51.508033,-0.106823,30
"Tower Wharf, Bermondsey",51.500845,-0.074704,20
"Temple Gardens, Temple",51.510981,-0.108322,24
"Crimscott Street, Bermondsey",51.495598,-0.078893,19
"Brandon Street, Walworth",51.489102,-0.091548,22
"Strand, Strand",51.512582,-0.115057,35
"Waterloo Place, St. James's",51.506633,-0.131773,20
"Horseferry Road, Westminster",51.494816,-0.130458,16
"Broadwick Street, Soho",51.513684,-0.13558,18
"Golden Square, Soho",51.511897,-0.137043,18
"Wardour Street, Soho",51.512515,-0.133201,16
"Frith Street, Soho",51.513103,-0.131213,18
"Moor Street, Soho",51.513527,-0.13011,16
"Soho Square , Soho",51.515631,-0.132328,57
"Upper Grosvenor Street, Mayfair",51.51013,-0.155757,18
"Park Lane, Mayfair",51.505426,-0.150817,18
"Pall Mall East, West End",51.50777,-0.130699,22
"Green Park Station, Mayfair",51.506613,-0.142844,28
